Outbreak (blank for sporadics)	MN WGS IDa for isolate	Collection date (mo/day/yr)	State	Source	NCBI accession no.	CDC PFGE patternb
	MDH-2014-00202	6/28/2000	MN	Feces	SRS569705	JEGX01.0004
	MDH-2014-00203	7/5/2000	MN	Feces	SRS569710	JEGX01.0002
	MDH-2014-00204	7/13/2000	MN	Feces	SRS569744	JEGX01.0009
	MDH-2014-00205	8/18/2000	MN	Feces	SRS569692	JEGX01.0004
	MDH-2014-00206	8/18/2000	MN	Feces	SRS569717	JEGX01.0002
	MDH-2014-00207	8/27/2000	MN	Feces	SRS569716	JEGX01.0002
Suspect in outbreak 1	MDH-2014-00208	9/19/2000	MN	Feces	SRS569796	JEGX01.0004
1	MDH-2014-00209	9/16/2000	MN	Feces	SRS569751	JEGX01.0004
1	MDH-2014-00210	9/14/2000	MN	Feces	SRS569711	JEGX01.0004
1	MDH-2014-00211	9/18/2000	MN	Feces	SRS569685	JEGX01.0004
1	MDH-2014-00212	9/19/2000	MN	Feces	SRS569765	JEGX01.0004
Suspect in outbreak 1	MDH-2014-00213	9/27/2000	MN	Feces	SRS569714	JEGX01.0004
	MDH-2014-00214	3/4/2001	MN	Feces	SRS569699	JEGX01.0002
	MDH-2014-00215	4/15/2001	MN	Blood	SRS569693	JEGX01.1077
	MDH-2014-00216	4/27/2001	MN	Blood	SRS569682	JEGX01.0005
	MDH-2014-00217	4/28/2001	MN	Feces	SRS569794	JEGX01.0002
2	MDH-2014-00218	5/8/2001	MN	Feces	SRS569723	JEGX01.0050
2	MDH-2014-00219	5/9/2001	MN	Feces	SRS569721	JEGX01.0050
2	MDH-2014-00220	5/9/2001	MN	Feces	SRS569701	JEGX01.0050
	MDH-2014-00221	5/6/2001	MN	Feces	SRS569724	JEGX01.0009
2	MDH-2014-00222	5/25/2001	MN	Feces	SRS569753	JEGX01.0050
2	MDH-2014-00223	5/25/2001	MN	Feces	SRS570367	JEGX01.0050
	MDH-2014-00224	6/8/2001	MN	Feces	SRS569673	JEGX01.0005
2	MDH-2014-00225	6/10/2001	MN	Feces	SRS569694	JEGX01.0050
	MDH-2014-00226	6/16/2001	MN	Feces	SRS569739	JEGX01.0021
3	MDH-2014-00227	6/28/2001	MN	Feces	SRS569799	JEGX01.0021
2	MDH-2014-00228	7/6/2001	MN	Feces	SRS569758	JEGX01.0050
3	MDH-2014-00229	7/4/2001	MN	Feces	SRS569790	JEGX01.0021
3	MDH-2014-00230	7/5/2001	MN	Feces	SRS569707	JEGX01.0021
	MDH-2014-00231	6/25/2001	MN	Feces	SRS569680	JEGX01.0004
	MDH-2014-00232	10/11/2001	MN	Feces	SRS569679	JEGX01.0034
	MDH-2014-00233	12/3/2001	MN	Blood	SRS569766	JEGX01.0004
4	MDH-2014-00234	11/23/2003	MN	Feces	SRS569755	JEGX01.0004
	MDH-2014-00235	9/26/2005	MN	Feces	SRS569712	JEGX01.0004
	MDH-2014-00236	5/3/2011	MN	Feces	SRS569708	JEGX01.0019
	MDH-2014-00237	6/17/2011	MN	Feces	SRS569703	JEGX01.0019
5	MDH-2014-00238	8/15/2011	MN	Feces	SRS569681	JEGX01.0004
5	MDH-2014-00239	8/22/2011	MN	Feces	SRS569674	JEGX01.0004
5	MDH-2014-00240	8/25/2011	MN	Feces	SRS569695	JEGX01.0004
Suspect in outbreak 5	MDH-2014-00241	9/10/2011	MN	Feces	SRS569718	JEGX01.0004
5	MDH-2014-00242	9/13/2011	MN	Feces	SRS569722	JEGX01.0004
Suspect in outbreak 5	MDH-2014-00243	10/11/2011	MN	Feces	SRS569676	JEGX01.0004
5	MDH-2014-00244	10/14/2011	MN	Egg Farm Environmental Swab	SRS569702	JEGX01.0004
	MDH-2014-00245	6/20/2012	MN	Feces	SRS569719	JEGX01.0034
	MDH-2014-00246	7/24/2012	MN	Feces	SRS569800	JEGX01.0004
	MDH-2014-00247	7/30/2012	MN	Arm swab	SRS569704	JEGX01.0094
	MDH-2014-00248	6/4/2013	MN	Feces	SRS569795	JEGX01.0019
6	MDH-2014-00249	1/31/2014	MN	Feces	SRS569706	JEGX01.0034
6	MDH-2014-00250	1/30/2014	MN	Feces	SRS569696	JEGX01.0034
3	MDH-2014-00251	7/16/2001	MN	Feces	SRS569677	JEGX01.0021
4	MDH-2014-00252	11/20/2003	MN	Feces	SRS569683	JEGX01.0004
4	MDH-2014-00253	12/1/2003	MN	Feces	SRS569798	JEGX01.0004
4	MDH-2014-00254	11/27/2003	MN	Feces	SRS569759	JEGX01.0004
7	MDH-2014-00255	1/1/2014	OH	Feces	SRS569752	JEGX01.0034
7	MDH-2014-00256	2/1/2014	OH	Feces	SRS569675	JEGX01.0034
